Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2002-08-12,25.828413009643555,26.023589434038264,25.19408652810714,25.19408652810714,212976
2002-08-13,25.478715896606445,26.275689698217196,25.291672366999165,25.860938304520047,153576
2002-08-14,23.722122192382812,25.535639549858942,23.242310419220814,25.535639549858942,822776
2002-08-15,23.722122192382812,23.722122192382816,23.722122192382816,23.722122192382816,0
2002-08-16,23.665184020996094,24.722391554580113,23.258565738848397,23.60012608857288,811856
2002-08-19,23.07965850830078,23.860366302792915,22.86008606978221,23.860366302792915,205880
2002-08-20,23.722122192382812,25.194079047235512,23.08779589919675,23.242310419220814,3773624
2002-08-21,24.885051727294922,25.503112331915,23.76278568133392,25.031433391793374,3011064
2002-08-22,25.958526611328125,27.04826371925754,25.576304220087565,25.706422639348336,6732480
2002-08-23,27.519927978515625,28.38195933135841,25.869058557406426,26.186220357299163,4841672
2002-08-26,27.422351837158203,28.137999383675268,27.20277686080745,27.959086256144854,2576912
2002-08-27,26.73922348022461,28.78858109313449,26.511518181813116,27.650049637473803,3694224
2002-08-28,26.763633728027344,27.064529968988772,26.210631005353093,26.657911414876544,1674960
2002-08-29,26.763633728027344,27.24344312551923,26.51152972811722,26.600986306382453,1236544
2002-08-30,28.65845489501953,29.35783880899001,26.83680555946455,26.84493842114579,3762384
2002-09-02,28.95123291015625,29.910851435244002,28.658467137176295,29.113880286056006,2389568
2002-09-03,27.59313201904297,29.235871847123928,27.32476478618537,29.113886290042743,986784
2002-09-04,28.194921493530273,28.46328865094705,26.926271560156273,27.243433423049318,1449856
2002-09-05,28.024147033691406,29.18707493094097,27.650057523774,29.056956516821568,1061360
2002-09-06,26.98320770263672,28.138005450855385,26.682311445567652,28.138005450855385,907472
2002-09-09,26.63351821899414,27.772050295531294,25.69829544183862,25.69829544183862,880848
2002-09-10,26.63351821899414,26.633518218994137,26.633518218994137,26.633518218994137,0
2002-09-11,27.308500289916992,27.780179287751697,26.779896185279867,26.779896185279867,635936
2002-09-12,27.446746826171875,28.121732496139074,27.259703322003286,27.64192319613088,781968
2002-09-13,26.66602897644043,27.471132755105263,26.438323709557885,26.48711840440451,338264
2002-09-16,26.145565032958984,27.064521691474404,25.942255818083723,26.91814004948499,288592
2002-09-17,26.910005569458008,27.080785796063815,26.52778575751356,26.61723982124831,462952
2002-09-18,26.080507278442383,26.836816570901554,25.860932331959678,26.755492884323065,315432
2002-09-19,25.86092758178711,26.722958997540314,25.53563289522375,25.86092758178711,490848
2002-09-20,25.438058853149414,25.812148464890463,24.82813094763781,24.933853273674956,501072
2002-09-23,25.007030487060547,25.68201600829957,24.901310700486317,25.61695805991568,248504
2002-09-24,24.16126251220703,24.91757163980748,23.892892915915496,24.91757163980748,267912
2002-09-25,24.348310470581055,24.55975254514466,23.421220970204182,23.600134067558436,379544
2002-09-26,24.730539321899414,25.12089211530989,24.55975904410638,24.852524880065502,178136
2002-09-27,25.031421661376953,25.372982027545138,24.649201946837575,24.649201946837575,206288
2002-09-30,24.12061309814453,25.031437169211195,23.600141845848906,24.649217217873446,202232
2002-10-01,23.917301177978516,24.559757925360916,23.502549802746042,24.23446311840249,240192
