Price,Close,High,Low,Open,Volume
Ticker,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS
Date,,,,,
2002-07-01,14.415044784545898,14.705002710408339,13.876551618891863,14.104374639014534,847376
2002-07-02,14.70500373840332,14.746426427369938,13.876552588971617,13.876552588971617,676474
2002-07-03,14.560023307800293,14.91211438610262,14.477177935666335,14.91211438610262,574661
2002-07-04,14.912113189697266,15.015669896556314,14.601444822386977,14.808558236105075,1148300
2002-07-05,14.166507720947266,14.684289476906256,14.083662359471143,14.518598753954013,903273
2002-07-08,14.08366584777832,14.373623808129484,13.980109996917363,14.187221698639277,572054
2002-07-09,13.897263526916504,14.228643275688444,13.855840839161628,14.20793280844454,657548
2002-07-10,13.855839729309082,14.27006482041135,13.814417044872162,14.166508985952515,840243
2002-07-11,13.50374698638916,14.08366278080426,13.46232430441188,14.08366278080426,1105675
2002-07-12,13.296635627746582,13.752282509807458,13.23450072675481,13.752282509807458,1212941
2002-07-15,13.172369003295898,13.400192907276574,13.110234972219299,13.255214378064698,613201
2002-07-16,13.151657104492188,13.255213818582217,12.820276496037586,12.820276496037586,490166
2002-07-17,12.94454288482666,13.234500789915966,12.861698395253597,13.089522275688031,490399
2002-07-18,13.089524269104004,13.358770873645506,13.048101579692455,13.29663771616175,246819
2002-07-19,13.089524269104004,13.234502805410857,13.048101579692455,13.213792337338653,273717
2002-07-22,13.027390480041504,13.213792585899837,12.840989250816756,13.172369895709096,430722
2002-07-23,12.88240909576416,13.048098943298834,12.654584350033069,13.048098943298834,485732
2002-07-24,12.758142471313477,12.923833213905963,12.633875291002601,12.923833213905963,250128
2002-07-25,12.923831939697266,13.255212515576703,12.90311972228181,13.048099107756178,393443
2002-07-26,12.633875846862793,12.840988407582367,12.488897317349151,12.675298534333413,437573
2002-07-29,12.633875846862793,13.04810096830194,12.530320004819771,13.04810096830194,491284
2002-07-30,12.613161087036133,13.048098341276473,12.57174016117201,13.048098341276473,467602
2002-07-31,12.98596477508545,13.089521476521025,12.136802453213866,12.633873743471252,948395
2002-08-01,12.530319213867188,12.882410281875325,12.385339816871566,12.840987597019433,616734
2002-08-02,12.488895416259766,12.551028561374112,12.343916032181701,12.46818319904379,280372
2002-08-05,12.509607315063477,12.633875372812533,12.468184629147125,12.551030000979829,132945
2002-08-06,12.42676067352295,12.571740936050276,12.385338868472378,12.571740936050276,270422
2002-08-07,12.42676067352295,12.654584546151419,12.3439161867884,12.613161864467441,294814
2002-08-08,12.42676067352295,12.571740936050276,12.364627527630388,12.571740936050276,182438
2002-08-09,12.42676067352295,12.509606036890903,12.364627527630388,12.406050209314365,225134
2002-08-12,12.530319213867188,12.551029679661662,12.343917132015674,12.426761625093985,165155
2002-08-13,12.571743965148926,12.63387712601216,12.426763667689324,12.488898581819791,70647
2002-08-14,12.551027297973633,12.63387265196465,12.488894159113677,12.488894159113677,82282
2002-08-15,12.551027297973633,12.551027297973633,12.551027297973633,12.551027297973633,0
2002-08-16,12.98596477508545,13.151655497382372,12.530317918669057,12.633873743471252,329959
