Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2000-01-03,74.5850830078125,74.5850830078125,74.58412739868021,74.58412739868021,657536
2000-01-04,80.4596939086914,80.5520570344507,77.58181852007687,80.19285984970722,7191808
2000-01-05,74.02299499511719,77.56746941120286,74.02299499511719,74.94688229078746,21069440
2000-01-06,68.10115814208984,73.03278215600537,68.10115814208984,72.82585780449999,10495616
2000-01-07,62.653038024902344,62.653038024902344,62.653038024902344,62.653038024902344,971392
2000-01-10,65.66889190673828,67.66512254874233,57.64101353302092,62.65306804088162,30230400
2000-01-11,60.41551208496094,65.87268191063748,60.41551208496094,63.008652262348896,15658368
2000-01-12,62.424171447753906,63.719907559241705,56.16364014847838,57.04194286710153,25993472
2000-01-13,57.71305847167969,62.76520853901178,57.43023554933301,62.531312788885415,20038400
2000-01-14,58.122623443603516,58.69829157690059,53.47621050142451,58.46916918967677,16040064
2000-01-17,56.664371490478516,61.50505881014936,55.94406591035705,58.235290452760744,18092928
2000-01-18,56.97343444824219,58.0873015805848,54.05856606131341,56.038089055038824,20290944
2000-01-19,61.528202056884766,61.53130662109642,59.28542944292444,59.886875828577296,19994752
2000-01-20,60.846561431884766,64.68412429519681,60.19714349396554,63.00866657048173,19778560
2000-01-21,64.05976867675781,64.87028834496957,59.68161995416883,61.57665339588722,20786048
2000-01-24,66.24884033203125,69.16156015497867,64.91802181708262,64.91802181708262,25256320
2000-01-25,67.34957122802734,68.02070700588267,63.963569237114655,65.87268467938111,20469632
2000-01-26,67.34957122802734,67.34957122802734,67.34957122802734,67.34957122802734,0
2000-01-27,70.55778503417969,72.55544650539737,69.6245883373504,72.26904342708659,12953792
2000-01-28,72.66569519042969,73.50056186015945,70.8942943724567,70.8942943724567,17281536
2000-01-31,68.94389343261719,72.02081476509669,68.03981267641093,71.93966724050716,7598272
2000-02-01,70.81220245361328,71.12342805094322,68.25939739117369,69.21407427776353,7055424
