Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2000-01-03,13.244405746459961,13.244405746459963,12.497203742245231,12.497203742245231,62409578
2000-01-04,14.304696083068848,14.304696083068848,13.223358438019375,13.596958796694462,132872110
2000-01-05,14.865094184875488,15.149241510026261,13.504871794917879,13.504871794917879,375789847
2000-01-06,15.488639831542969,15.822776730181454,15.207125052924532,15.207125052924532,219621124
2000-01-07,16.551563262939453,16.727840858081475,15.417606217421314,15.522846258056152,278281260
2000-01-10,16.23320960998535,16.76993158459453,16.06482698951297,16.701526628182958,187897934
2000-01-11,15.180814743041992,16.362129968584778,14.93613221492568,16.20427063574661,175675797
2000-01-12,15.875396728515625,16.049041720528002,14.846679847317505,15.207125713304297,169586471
2000-01-13,16.409486770629883,16.648908349462435,16.00168396648468,16.10166163671051,239139851
2000-01-14,16.64364242553711,16.9251585475185,16.28582783051344,16.28582783051344,188507616
2000-01-17,16.24636459350586,16.990933977883543,16.15691023323846,16.74625288621064,150255809
2000-01-18,16.533140182495117,16.783085008838395,16.07797911140832,16.259517585808705,141210936
2000-01-19,16.817289352416992,17.09617433154883,16.638382033833224,16.988303142980094,160790093
2000-01-20,16.462108612060547,17.096177157149835,16.341082928997373,16.838340137915896,216069957
2000-01-21,17.172473907470703,17.28034510291087,16.417379756017997,16.454213411375274,239994540
2000-01-24,17.161949157714844,17.46188213311329,16.943577014660576,17.12774527588029,184344232
2000-01-25,16.835710525512695,17.117226753332385,16.746257545897496,17.1040708699014,136584272
2000-01-26,16.835710525512695,16.835710525512695,16.835710525512695,16.835710525512695,0
2000-01-27,17.625003814697266,17.722348891761925,16.980410683182225,17.3119149592382,210269961
2000-01-28,17.803911209106445,17.990712067580024,17.448727725377783,17.67499341537677,164331247
2000-01-31,17.267189025878906,17.68025556972558,17.18299701142281,17.59869473141409,142723553
2000-02-01,17.577646255493164,17.75655357863377,17.259296439234983,17.406631055031497,149956451
2000-02-02,17.89862632751465,18.2538112128938,17.814435718581134,18.043331176702985,139355731
2000-02-03,17.977558135986328,18.07490604281091,17.701304285354734,17.995976371201884,94831223
2000-02-04,18.109102249145508,18.27748483429723,17.98018448611993,18.101210128045775,99528064
2000-02-07,18.080162048339844,18.38798852680269,17.788122624318113,17.948613100128703,114747088
2000-02-08,18.01702117919922,18.253810151994767,17.945983644034918,18.18014144083815,90057597
2000-02-09,18.437976837158203,18.66160989379441,18.14330485131349,18.364308137925775,160165902
2000-02-10,18.719497680664062,19.143087569427177,18.14857315618715,18.35379086226619,151143675
2000-02-11,19.116769790649414,19.679801972843958,18.945756038989842,19.153604840823593,114214724
2000-02-14,18.527437210083008,18.990491968028337,18.416934819682965,18.890514284115472,71806185
2000-02-15,18.1196346282959,18.648463187732812,17.998608935093664,18.522175141206198,113776526
2000-02-16,18.31958770751953,18.616889572820078,18.053858555094994,18.416934211596434,110304203
2000-02-17,18.65635108947754,18.774745570300375,18.285380591798518,18.295903889729527,107425289
2000-02-18,18.387990951538086,18.83525996441183,18.311692467181956,18.78000807766731,70451511
2000-02-21,18.188037872314453,18.522173382452664,17.977557814756004,18.332742736193016,41234633
2000-02-22,17.593433380126953,18.25907319412877,17.496086884951985,18.20645388487127,100723088
2000-02-23,17.35401153564453,18.138047179807625,17.222462572374937,18.138047179807625,67665446
2000-02-24,17.7197265625,17.92757408922777,17.327707885950463,17.517139984348017,79319185
2000-02-25,17.29086685180664,18.043329759620757,17.159317893676047,17.96440010363386,54786600
2000-02-28,17.527652740478516,17.746024844047785,16.312135408498893,17.09353970881632,70386208
2000-02-29,16.356868743896484,18.04070361766926,16.125342081247073,17.780235419417178,139625441
2000-03-01,16.66994857788086,17.35663753127154,15.73331765275775,16.575233296374595,150769883
2000-03-02,15.351827621459961,16.943576589081392,15.338671742029918,16.777823752604228,175562684
2000-03-03,14.125783920288086,15.054522850473845,14.125783920288086,15.054522850473845,64935300
2000-03-06,13.362797737121582,14.936129871637716,12.997090996007891,14.12578532983164,146075956
2000-03-07,12.749780654907227,13.628531781931878,12.628754966422214,13.523291747261641,133888438
2000-03-08,12.257781028747559,13.18125758294583,12.102552916201374,12.991826999458873,101621246
2000-03-09,12.170960426330566,12.75504075882593,11.794728949964355,12.413011760617705,77665531
2000-03-10,11.410604476928711,12.355129917820278,11.292209987656664,12.313033912006738,92389443
2000-03-13,10.692343711853027,12.076244593194076,10.539746749235691,11.571094645979183,150763063
2000-03-14,11.534261703491211,11.550047354812747,10.37399454544468,10.813370039560521,141532996
2000-03-15,12.457738876342773,12.457738876342773,11.365877404582452,11.786836061231526,79982280
2000-03-16,12.357762336730957,13.039189215363654,12.107817452768252,12.602443462509124,147946692
2000-03-17,12.357762336730957,12.357762336730957,12.357762336730957,12.357762336730957,0
2000-03-20,12.357762336730957,12.357762336730957,12.357762336730957,12.357762336730957,0
2000-03-21,12.518250465393066,12.776087423701911,11.976266196117695,12.565607413525727,95762643
2000-03-22,12.807661056518555,13.076022767013628,12.691897732596326,12.891853075932138,69064318
2000-03-23,12.678741455078125,12.933947247812497,12.552453443902422,12.90500571817289,60024739
2000-03-24,12.660325050354004,12.7839804841754,12.5050969099169,12.586656338612515,36941526
2000-03-27,13.67325496673584,13.673254966735842,12.786611975320218,12.786611975320218,58001578
2000-03-28,14.767748832702637,14.767748832702637,13.844270658051522,13.844270658051522,98405624
2000-03-29,14.275750160217285,15.254477146549508,14.154724523259844,14.986116929325574,143934962
2000-03-30,15.417603492736816,15.417603492736816,13.591696489508163,14.154728850473445,240432206
2000-03-31,16.651533126831055,16.651533126831055,14.738804895894203,15.628077550668353,275945423
2000-04-03,17.29086685180664,17.55922852548771,16.73835925989836,17.240878725601533,299036394
2000-04-04,15.909598350524902,17.154057573200728,15.9095983505249,17.154057573200728,189486468
2000-04-05,15.904336929321289,16.41737973869295,14.641460916094372,15.964848359099513,352720260
2000-04-06,17.565061569213867,17.581218004278195,16.294064701534698,16.318300073409752,227418526
2000-04-07,18.970693588256836,18.970693588256836,17.76163115789833,17.76163115789833,163657523
2000-04-10,19.63311767578125,20.46518897521055,19.361145573440158,19.921246209085126,309647520
2000-04-11,19.05147933959961,19.33422196460605,18.661024758881236,19.280365267471584,136676715
2000-04-12,18.20055389404297,19.388073864176366,18.00936682415431,19.22650667787868,241770257
2000-04-13,16.746450424194336,17.831643053416244,16.746450424194336,17.831643053416244,3153974
2000-04-14,16.746450424194336,16.746450424194336,16.746450424194336,16.746450424194336,0
2000-04-17,16.070558547973633,16.199812867592225,15.408131958124217,15.408131958124217,223113571
2000-04-18,16.159423828125,16.636046515701075,15.833594995371412,16.000548160376027,122899571
2000-04-19,16.956485748291016,17.451959221683303,16.323681892393672,16.571418629089816,228183965
2000-04-20,18.189781188964844,18.313649541743732,16.654891668806826,16.85685062691228,271517327
2000-04-21,18.189781188964844,18.189781188964844,18.189781188964844,18.189781188964844,0
2000-04-24,18.146697998046875,19.420387472426487,17.39541032082721,18.63409251781503,246733265
2000-04-25,17.882802963256836,18.284027894334876,16.784145675503225,17.357709681628055,221403241
2000-04-26,19.277671813964844,19.315370635083077,18.310960164332144,18.310960164332144,238053151
2000-04-27,18.615243911743164,19.711208383926216,18.219403439224624,19.43115878406041,413796521
2000-04-28,18.582929611206055,18.951841711065114,18.32711395842248,18.714875466127452,188028343
2000-05-01,18.582929611206055,18.582929611206055,18.582929611206055,18.582929611206055,0
2000-05-02,17.726621627807617,19.099944058340323,17.51658516275704,18.74180386953815,230017702
2000-05-03,17.664691925048828,17.979747396096364,16.652202487224226,17.610835231571524,192704191
2000-05-04,18.160167694091797,18.469838709449416,17.826262744166485,17.826262744166485,158631859
2000-05-05,18.060531616210938,18.39443794839948,17.67007704863603,18.230177760926985,156073814
2000-05-08,17.449262619018555,18.149387908730898,17.35770857017975,17.826253602265652,82504670
2000-05-09,17.68353843688965,17.87203395604157,17.147673199845517,17.314626332849887,85940035
2000-05-10,17.516584396362305,18.036291737952563,17.411565449153528,17.772398600234673,93165917
2000-05-11,17.058813095092773,17.451959147382478,16.9107093616451,17.451959147382478,90033846
2000-05-12,17.013036727905273,17.368483990865105,16.873011917779564,17.21230274852429,57913070
2000-05-15,17.206918716430664,17.486968368009485,16.506793148926572,16.8056936518481,81188494
2000-05-16,17.093820571899414,17.336171374261113,16.964566235217085,17.233845384026825,43882418
2000-05-17,17.171911239624023,17.68623417065688,17.0318864271261,17.282314727095034,109270328
2000-05-18,16.700672149658203,17.22037956996166,16.53910495673014,17.126132520272563,75382294
2000-05-19,16.996877670288086,17.182678769897578,16.547181984847565,16.58757233986805,111574963
2000-05-22,16.827232360839844,17.066890155636155,16.64142981385134,16.85685224363929,43662227
2000-05-23,16.951099395751953,17.01841809059165,16.61450016732707,16.819152106922,58389850
2000-05-24,16.843387603759766,17.12074563487841,16.69528388453466,16.891858330358996,56605367
2000-05-25,16.84608268737793,17.115361818202373,16.754527178703768,16.81915434272845,36653287
2000-05-26,17.042654037475586,17.126130602950543,16.749141007842454,16.953792954447508,49082689
2000-05-29,18.281335830688477,18.712182101294836,17.126130265623836,17.15305860708568,165326988
2000-05-30,18.515605926513672,18.62600937437039,18.154772829988772,18.35134580494289,79692753
2000-05-31,18.52099609375,19.215735546500873,18.42405463444024,18.90337165901135,118366163
2000-06-01,18.26787757873535,18.628710839665832,18.103617382323097,18.424058838842598,75363108
2000-06-02,18.173627853393555,18.63409406853945,17.9932098107906,18.472526874554447,81875438
2000-06-05,18.26787757873535,18.949153734742367,18.117080837607745,18.187093969913395,151857297
2000-06-06,18.246328353881836,18.46444516686184,18.100917624747332,18.203243586837797,54887782
2000-06-07,18.20055389404297,18.547923632294346,18.108999826467432,18.305572852847817,52545769
2000-06-08,18.356740951538086,18.58024237525996,18.216716119170332,18.30557722974687,64426688
2000-06-09,18.375585556030273,18.994927381870305,18.25979612541716,18.413284373506325,172161391
